Matricula,Temporada,Embarcacion,Armador,casco,tipo_presevacion,eslora,potencia_motor,capbod_m3,numowned
CE-12972-PM,2017-I,TIBURON 3,PESQUERA AZUL S.A.C.,ACERO NAVAL,N/P,42.56999969,894.84,422,1
CO-10613-PM,2017-I,CAPRICORNIO 6,PESQUERA CAPRICORNIO S.A.,ACERO NAVAL,RSW,31.77000046,540,282.94,7
CO-5302-PM,2017-I,POLAR II,PESQUERA DIAMANTE S.A.,ACERO NAVAL,N/P,42.83000183,634,406.71,29
CO-21111-PM,2017-I,DON TOMAS,PESQUERA FELIPITA S.A.C.,MADERA,N/P,20.700000760000002,540,108.12,1
CO-9906-PM,2017-I,"NATALIA",PESQUERA DIAMANTE S.A.,ACERO NAVAL,N/P,45.06000137,2000,499.18,29
PT-10933-PM,2017-I,TASA 418,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,N/P,38.75,1060,426.37,48
CE-51707-PM,2017-I,MODESTO 7,PESQUERA NIROCI S.A.C.,ACERO NAVAL,N/P,39.13999939,775,231.38,5
HO-6579-PM,2017-I,TASA 36,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,N/P,31.09000015,565,321.64,48
CO-10397-PM,2017-I,ERNESTINA,COMPAÑIA PESQUERA DEL PACIFICO CENTRO S.A.,ACERO NAVAL,N/P,31.09000015,565,223.36,1
CE-11436-PM,2017-I,TASA 426,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,N/P,41.59999847,900.05,397.36,48
CE-0233-PM,2017-I,LOCUMBA 5,GRUPO PESQUERO S.A.C.,ACERO NAVAL,N/P,24.37999916,360,190.42,5
CO-4502-PM,2017-I,POLAR VI,PESQUERA DIAMANTE S.A.,ACERO NAVAL,N/P,37.5,670,331.8,29
CO-22029-PM,2017-I,TASA 45,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,N/P,44.79999924,970,364.84,48
CO-15233-PM,2017-I,TASA 71,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,RSW,50.59999847,1850,868.27,48
CE-2777-PM,2017-I,RENZO,PESQUERA HUMACARE S.A.,ACERO NAVAL,N/P,30.25,540,275,7
CE-10695-PM,2017-I,RIBAR XV,CORPORACION PESQUERA INCA S.A.C.,ACERO NAVAL,RSW,39.75,720,337.25,27
PL-17784-CM,2017-I,JOSE LUIS,SANDOVAL DAMIAN MARIA HUMBERTA ;SUCLUPE TEJADA JOSE DE LA ROSA,MADERA,CAJ/HIE,15,365,33.99,2
CO-18965-CM,2017-I,ANTONIA II,PESQUERA Z Y T S.A.C.,MADERA,CAJ/HIE,19.89999962,283.36,107,3
CE-1253-PM,2017-I,TIBURON 2,PESQUERA SKAVOS S.A.C.,ACERO NAVAL,N/P,32,397,251.99,1
PS-10061-PM,2017-I,TASA 412,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,N/P,36.59999847,790.76,400.88,48
CE-2916-PM,2017-I,JUNIN 2,PESQUERA EXALMAR S.A.A.,ACERO NAVAL,N/P,37.68000031,900,372,23
CO-5791-CM,2017-I,PAOLA,PESQUERA PAOLA S.A.C.,MADERA,CAJ/HIE,18.29000092,170,102.99,1
HO-10722-PM,2017-I,TASA 416,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,N/P,36.59999847,1060,420,48
HO-1759-PM,2017-I,KAROL,CHUNGA PURIZACA EUGENIA ;GARCIA CHUNGA TEOFILO OMAR ;GARCIA CHUNGA CARMEN ROSA ;GARCIA CHUNGA BETSY YAHAYRA ;GARCIA CHUNGA GUADALUPE BIRGHIT,MADERA,CAJ/HIE,21.85000038,NA,107.6,1
CO-10744-CM,2017-I,JABET II,CHUNGA PURIZACA EUGENIA,ACERO NAVAL,N/P,19.95999908,280,100.16,1
PT-2466-PM,2017-I,TASA 111,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,N/P,25.04000092,161.74,188,48
SE-9970-PM,2017-I,MARU,CFG INVESTMENT S.A.C.,ACERO NAVAL,RSW,45.33000183,1052,540.17,20
CO-19871-PM,2017-I,TASA 56,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,RSW,44.40000153,10.3,520.07,48
CO-17359-PM,2017-I,TASA 57,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,RSW,46,1051,577.42,48
PL-19860-CM,2017-I,CRUZ DEL SUR II,SANTISTEBAN URCIA VICTOR ;CASTRO PALMA MARIA DE LA CRUZ,MADERA,CAJ/HIE,19,365,74.42,2
HO-23066-CM,2017-I,SALVADOR II,SALVADOR ZA FISHING S.A.C.,MADERA,CAJ/HIE,21.53000069,298.28,95.35,2
HO-06173-PM,2017-I,TASA 310,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,N/P,33.54999924,705,332.16,48
CE-13954-PM,2017-I,COQUI VI,PESQUERA ISA S.R.L.,ACERO NAVAL,CSW,40.86000061,620,205.38,4
PT-14728-PM,2017-I,JORGITO,PESQUERA HUMACARE S.A.,ACERO NAVAL,RSW,33.58000183,805,294.02,7
CO-16401-PM,2017-I,SAN FERNANDO,CORPORACION PESQUERA INCA S.A.C.,ACERO NAVAL,RSW,41.54999924,960,400.31,27
PL-18448-PM,2017-I,BENDICION,CORPORACION WALTER S.A.C.,MADERA,CAJ/HIE,14.27000046,210,98.75,1
CO-21016-CM,2017-I,TIO SAMBITO,EMPRESA PESQUERA MARIA DEL ROCIO S.R.L.,MADERA,N/P,21.799999239999998,455,110,3
PL-20741-PM,2017-I,PONTEVEDRA,PESQUERA EXALMAR S.A.A.,MADERA,CAJ/HIE,20.299999239999998,280,104.33,23
CO-5543-PM,2017-I,ITJ 3,PESQUERA NATALIA S.A.C.,ACERO NAVAL,N/P,25.29000092,283.36,202,2
CE-6568-PM,2017-I,DALMACIA,CORPORACION PESQUERA INCA S.A.C.,ACERO NAVAL,N/P,40.09999847,700,347.53,27
PL-18664-CM,2017-I,JOSELITO 2,PESQUERA MARMAR S.A.C.,MADERA,CAJ/HIE,22.20999908,365,108,7
CE-2889-PM,2017-I,RIBAR XIII,CORPORACION PESQUERA INCA S.A.C.,ACERO NAVAL,RSW,43,720,433.31,27
CE-18337-PM,2017-I,TASA 314,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,N/P,36.34000015,1800,343.37,48
PL-2279-CM,2017-I,CRUZ DEL SUR III,SANTISTEBAN URCIA VICTOR ;CASTRO PALMA MARIA DE LA CRUZ,MADERA,CAJ/HIE,16.80999947,365,73.95,2
SY-19960-CM,2017-I,ALMIRANTE GRAU 1,COMERCIALIZADORA JSB S.A.C.,MADERA,CAJ/HIE,18,347,55.35,1
PL-19843-PM,2017-I,LOS ANGELES II,PESQUERA MARMAR S.A.C.,MADERA,CAJ/HIE,20.96999931,365,106.13,7
CE-1149-CM,2017-I,RIMAC,PESQUERA NIROCI S.A.C.,ACERO NAVAL,N/P,19.799999239999998,164.05,122,5
CE-4830-PM,2017-I,TASA 38,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,N/P,34.79999924,850,321,48
CO-3273-PM,2017-I,DON MOISES,CFG INVESTMENT S.A.C.,ACERO NAVAL,N/P,38,839,350,20
CO-21441-CM,2017-I,CAPRICORNIO 9,PESQUERA CAPRICORNIO S.A.,ACERO NAVAL,N/P,21.89999962,283.36,58.03,7
CO-10447-PM,2017-I,RESBALOSA II,AUSTRAL GROUP S.A.A,ACERO NAVAL,N/P,37.29999924,790.44,432.13,20
CE-11079-PM,2017-I,TASA 417,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,N/P,38.75,790.44,440.69,48
CE-16660-PM,2017-I,BAMAR I,PESQUERA HAYDUK S.A.,ACERO NAVAL,RSW,48.70000076,1300,606.04,19
CO-28488-PM,2017-I,PATRICIA,PESQUERA DIAMANTE S.A.,ACERO NAVAL,N/P,45.02000046,1450,444.82,29
PL-50093-CM,2017-I,DON GERMAN,OROSCO CASTRO JOSE ROSARIO,MADERA,N/P,22,454,104.99,4
CO-16647-PM,2017-I,CHIMBOTE 1,CORPORACION PESQUERA INCA S.A.C.,ACERO NAVAL,RSW,40.5,960,479.96,27
PL-18705-PM,2017-I,FLOR DE MARIA,GRUPO EMPRESARIAL PESQUERO SANTISTEBAN S.A.C.,MADERA,CAJ/HIE,21.450000760000002,340,109.83,2
PS-6710-PM,2017-I,TASA 35,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,N/P,31.09000015,402.84,321.64,48
PS-1852-PM,2017-I,TASA 315,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,N/P,36.58000183,633.84,357.65,48
PL-20294-CM,2017-I,MELISSA,PESQUERA MARMAR S.A.C.,MADERA,N/P,22.299999239999998,365,100,7
PT-18056-PM,2017-I,"NAUTICA",BARRETO PAREDES FERNANDO RICHARD,MADERA,CAJ/HIE,19.35000038,0,110,4
CO-10398-PM,2017-I,NUNCIA,AUSTRAL GROUP S.A.A,ACERO NAVAL,N/P,45.09999847,839,439.75,20
CO-5802-PM,2017-I,TASA 32,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,N/P,42.75999832,633.84,399.98,48
CO-15669-PM,2017-I,MIGUEL,PESQUERA MIGUEL S.A.C.,ACERO NAVAL,N/P,22.799999239999998,287.19,127.21,1
CO-22058-PM,2017-I,TASA 44,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,N/P,44.70000076,960,400,48
